Kabupaten/Kota,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Bogor,443787,...,474.74,...,7.73,...
Sukabumi,357636,...,186.28,...,7.34,...
Cianjur,406829,...,246.81,...,10.55,...
Bandung,398884,...,258.61,...,6.8,...
Garut,335134,...,276.67,...,10.42,...
Tasikmalaya,347917,...,194.1,...,10.73,...
Ciamis,405294,...,93.96,...,7.72,...
Kuningan,371665,...,140.25,...,12.76,...
Cirebon,416914,...,266.1,...,12.01,...
Majalengka,483319,...,147.12,...,11.94,...
Sumedang,371870,...,120.12,...,10.14,...
Indramayu,499805,...,225.04,...,12.77,...
Subang,372308,...,155.34,...,9.75,...
Purwakarta,403663,...,83.44,...,8.7,...
Karawang,521158,...,199.91,...,8.44,...
Bekasi,579221,...,201.14,...,5.01,...
Bandung Barat,393956,...,183.67,...,10.82,...
Pangandaran,411174,...,37.91,...,9.32,...
Kota Bogor,608949,...,79.15,...,7.1,...
Kota Sukabumi,594118,...,26.59,...,8.02,...
Kota Bandung,545675,...,109.82,...,4.25,...
Kota Cirebon,485613,...,31.47,...,9.82,...
Kota Bekasi,731392,...,137.39,...,4.43,...
Kota Depok,744771,...,64.36,...,2.53,...
Kota Cimahi,549450,...,31.16,...,5.11,...
Kota Tasikmalaya,498711,...,87.13,...,12.72,...
Kota Banjar,373510,...,12.73,...,6.73,...
Jawa Barat,452580,...,4070.98,...,8.06,...
,,,,,,
Catatan,,,,,,
-,,,,,,